data;

set FABRICANTE := CORONAVAC ASTRAZENECA;
set GRUPO := GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25;
set DOSE := D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast;
set UNIDADE := AC AL AM AP BH CE DF MG RS SP;

#utilizando valores para teste, teoricamente será apenas 2 (CORONOVAC e ASTRAZENECA)
param estoque:=
	CORONAVAC 10000000
	ASTRAZENECA 10000000;

 
param fabricanteDose:
           		D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP21	 0.062 	 0.116 	 0.171 	 0.116 	 0.171 
GP22	 0.061 	 0.115 	 0.170 	 0.115 	 0.170 
GP23	 0.060 	 0.114 	 0.169 	 0.114 	 0.169 
GP24	 0.059 	 0.113 	 0.168 	 0.113 	 0.168 
GP25	 0.058 	 0.112 	 0.167 	 0.112 	 0.167 
;


param demanda :=

 [*,*,AC]: D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast  :=	
GP1		0	2289	1728	1727	0
GP10	1557	4530	2568	9644	10
GP11	16514	10217	3355	6488	11
GP12	65808	459	52	50	0
GP13	18819	16	13	6	0
GP14	393	0	0	0	0
GP15	2541	377	3	48	0
GP16	7332	3	0	1	0
GP17	2132	2	1	0	0
GP18	2227	1149	105	164	0
GP19	2027	2	2	0	0
GP2		0	15	13	0	0
GP20	221	0	0	0	0
GP21	350	0	0	0	0
GP22	125	3	3	0	0
GP23	3730	1	1	0	0
GP24	334	3	1	0	0
GP25	16002	1	0	0	0
GP3		0	7019	4329	0	0
GP4		0	13867	10614	5888	774
GP5		0	1344	975	5438	20
GP6		0	1344	975	5438	20
GP7		721	3799	492	2463	2
GP8		2402	0	0	0	0
GP9		0	6051	5098	4283	20


 [*,*,AL]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	1884	1108	929	154
GP10	8074	39496	25803	27195	41
GP11	85643	58195	16547	31648	134
GP12	341283	1781	100	13610	63
GP13	97596	2	1	2	0
GP14	2038	0	0	0	0
GP15	13176	280	109	55	0
GP16	38021	833	4	530	1
GP17	11057	28	2	1	0
GP18	11551	3056	1149	542	4
GP19	10514	2	1	0	0
GP2		0	30	17	2	1
GP20	1145	0	0	0	0
GP21	1814	0	0	0	0
GP22	646	2	0	0	0
GP23	19345	1	1	0	0
GP24	1731	0	0	0	0
GP25	82989	0	1	0	0
GP3		0	7261	6530	253	0
GP4		0	73325	64682	7380	215
GP5		0	29442	26106	12815	106
GP6		0	29442	26106	12815	106
GP7		3738	0	0	0	0
GP8		12456	1	0	4747	11
GP9		0	51300	41263	10571	45

 [*,*,AM]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	372	223	243	4
GP10	9444	10327	7126	55348	872
GP11	100174	62620	51910	22011	652
GP12	399189	69684	18325	4487	63
GP13	114155	63	6	81	1
GP14	2384	0	0	0	0
GP15	15411	41	10	24	0
GP16	44473	3749	2660	463	0
GP17	12933	776	538	3	2
GP18	13511	6218	2095	2251	6
GP19	12298	0	1	2	0
GP2		0	53	49	4	0
GP20	1339	2	0	0	0
GP21	2122	4	4	0	0
GP22	756	13	7	16	2
GP23	22627	0	1	1	0
GP24	2025	10	7	1	0
GP25	97070	1	0	1	0
GP3		0	59945	35415	135	4
GP4		0	84256	73740	9336	1649
GP5		0	2423	1596	25744	11075
GP6		0	2423	1596	25744	11075
GP7		4372	2425	309	29349	48
GP8		14570	15	0	1064	0
GP9		0	6065	4240	38503	12192

 [*,*,AP]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	752	672	1186	34
GP10	1537	12073	4432	319	8
GP11	16306	10273	1789	2981	11
GP12	64977	1813	39	2132	5
GP13	18581	20	11	12	0
GP14	388	0	0	0	0
GP15	2509	30	0	0	0
GP16	7239	3	2	1	0
GP17	2105	1	0	0	0
GP18	2199	1082	110	845	16
GP19	2002	0	0	0	0
GP2		0	80	73	0	6
GP20	218	0	0	0	0
GP21	345	0	0	0	0
GP22	123	0	0	2	0
GP23	3683	0	0	4	0
GP24	330	0	0	0	0
GP25	15800	0	0	39	0
GP3		0	4180	3452	0	0
GP4		0	11923	10297	6930	2429
GP5		0	5282	4338	485	12
GP6		0	5282	4338	485	12
GP7		712	191	86	2265	4
GP8		2372	360	109	3146	105
GP9		0	8013	6140	195	8

 [*,*,BH]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	27918	17329	10455	202
GP10	36774	220391	112324	111304	254
GP11	390079	169107	17932	187450	697
GP12	1554441	6398	2496	7671	45
GP13	444519	252	160	297	6
GP14	9282	6	6	4	0
GP15	60011	54	21	179	1
GP16	173176	242	26	15673	35
GP17	50362	65	34	2161	6
GP18	52613	4383	977	6575	93
GP19	47890	46	20	1598	3
GP2		0	439	301	215	29
GP20	5214	1	4	2	1
GP21	8264	6	7	18	0
GP22	2942	1	0	0	0
GP23	88109	9	7	12	0
GP24	7886	6	6	29	0
GP25	377991	4	4	17	1
GP3		0	17275	12532	42	0
GP4		0	209578	173221	185218	35226
GP5		0	209427	167028	19414	219
GP6		0	209427	167028	19414	219
GP7		17024	0	5	41	1
GP8		56735	6696	2046	56520	269
GP9		0	246547	173471	60852	172

 [*,*,CE]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	10360	6588	4838	426
GP10	17193	82023	28852	18857	82
GP11	182377	12559	2116	37576	113
GP12	726761	246	119	151	43
GP13	207830	8	7	123	85
GP14	4340	5	2	0	0
GP15	28058	10	15	0	0
GP16	80967	6	6	2	0
GP17	23546	9	1	0	0
GP18	24599	2309	192	2438	4
GP19	22390	31	26	0	0
GP2		0	293	135	2	0
GP20	2438	1	3	0	0
GP21	3864	0	0	0	0
GP22	1375	0	0	0	0
GP23	41194	0	0	1	0
GP24	3687	0	0	2	0
GP25	176726	2	0	0	0
GP3		0	18423	17180	2	5
GP4		0	288792	222163	66841	6932
GP5		0	91384	55664	30587	2054
GP6		0	91384	55664	30587	2054
GP7		7959	0	1	0	0
GP8		26526	38	0	267	1
GP9		0	135478	58516	2674	119

 [*,*,DF]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	1781	1656	1972	19
GP10	6594	46448	31075	18220	85
GP11	69944	2845	1031	35399	163
GP12	278722	601	476	91	29
GP13	79705	148	131	12	0
GP14	1664	13	4	1	0
GP15	10760	436	40	57	0
GP16	31052	67	57	7	0
GP17	9030	145	132	7	1
GP18	9434	5783	1152	955	9
GP19	8587	4	2	4	1
GP2		0	195	190	2	0
GP20	935	6	1	3	0
GP21	1482	3	1	0	0
GP22	528	15	5	0	0
GP23	15799	1	1	1	0
GP24	1414	2	0	0	0
GP25	67777	3	3	0	0
GP3		0	125	50	58	3
GP4		0	89498	70393	15231	4647
GP5		0	15939	13700	22412	126
GP6		0	15939	13700	22412	126
GP7		3052	0	0	0	0
GP8		10173	2	2	0	0
GP9		0	54865	42222	1415	40

 [*,*,MG]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	61895	38053	17395	953
GP10	52382	437880	149280	151458	470
GP11	555638	57883	7581	249773	724
GP12	2214183	1206	896	835	3
GP13	633183	348	257	212	0
GP14	13221	3	3	2	0
GP15	85481	1674	135	650	3
GP16	246676	18	11	106	0
GP17	71736	15	16	107	3
GP18	74943	10446	2356	4281	20
GP19	68215	17	9	32	1
GP2		0	1785	1616	314	31
GP20	7427	1	0	0	0
GP21	11772	1	0	0	0
GP22	4191	2	1	1	0
GP23	125504	11	8	11	0
GP24	11233	7	7	2	0
GP25	538420	12	6	17	4
GP3		0	6926	6359	20	0
GP4		0	355612	285903	190203	19508
GP5		0	332526	276619	14387	81
GP6		0	332526	276619	14387	81
GP7		24249	130	2	2463	3
GP8		80814	282	104	29192	26
GP9		0	482701	348649	10252	88

 [*,*,RS]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	38832	29297	6639	730
GP10	40101	373380	78664	42545	145
GP11	425369	120916	5513	339222	1148
GP12	1695067	1539	631	6385	47
GP13	484733	2644	1828	1071	66
GP14	10121	36	25	20	10
GP15	65440	848	112	2374	1
GP16	188843	382	316	352	30
GP17	54918	235	179	57	13
GP18	57373	3945	964	21239	48
GP19	52222	57	7	4	1
GP2		0	2029	1800	415	80
GP20	5686	6	2	0	0
GP21	9012	10	1	3	1
GP22	3208	1	0	0	0
GP23	96080	15	5	7	2
GP24	8599	4	1	7	0
GP25	412187	56	22	14	1
GP3		0	12159	9777	443	4
GP4		0	301314	228277	127765	45101
GP5		0	200951	171247	29565	177
GP6		0	200951	171247	29565	177
GP7		18564	0	0	0	0
GP8		61867	1185	1115	8250	51
GP9		0	333067	235910	10938	333

[*,*,SP]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	41525	42681	8851	3559
GP10	116365	697965	267589	560430	1838
GP11	1234329	122865	34117	135972	1244
GP12	4918723	5	11	0	0
GP13	1406593	6	7	2	0
GP14	29370	6424	2057	277	7
GP15	189894	1	2	1	0
GP16	547982	179913	4416	26206	385
GP17	159359	54	2	5	1
GP18	166483	12	16	241	4
GP19	151538	0	0	0	0
GP2		0	4522	3363	2534	572
GP20	16499	0	9	0	0
GP21	26151	0	5	0	0
GP22	9309	1	0	1	0
GP23	278803	0	0	0	0
GP24	24953	0	0	0	0
GP25	1196080	1	0	0	0
GP3		0	3616	3243	299	15
GP4		0	1019475	888575	506775	69825
GP5		0	699361	606440	102801	945
GP6		0	699361	606440	102801	945
GP7		53868	0	0	0	0
GP8		179526	5280	4241	1813	25
GP9		0	1106997	860253	27885	603
