data;

set FABRICANTE := CORONAVAC ASTRAZENECA;
set GRUPO := GP1	GP2	GP3	GP4	GP5	GP6	GP7	GP8	GP9	GP10	GP11	GP12	GP13	GP14	GP15	GP16	GP17	GP18	GP19	GP20	GP21	GP22	GP23	GP24	GP25;
set DOSE := D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast;
set UNIDADE := AC AL AM AP BH CE DF MG RS SP SIMU1 SIMU2 SIMU3 SIMU4 SIMU5 SIMU6 SIMU7 SIMU8 SIMU9 SIMU10 SIMU11 SIMU12 SIMU13 SIMU14 SIMU15 SIMU16 SIMU17;

#utilizando valores para teste, teoricamente será apenas 2 (CORONOVAC e ASTRAZENECA)
param estoque:=
	CORONAVAC 60000000
	ASTRAZENECA 60000000;

 
param fabricanteDose:
           		D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP18	 0.065 	 0.120 	 0.174 	 0.120 	 0.174 
GP19	 0.064 	 0.119 	 0.173 	 0.119 	 0.173 
GP20	 0.063 	 0.118 	 0.172 	 0.118 	 0.172 
GP21	 0.062 	 0.116 	 0.171 	 0.116 	 0.171 
GP22	 0.061 	 0.115 	 0.170 	 0.115 	 0.170 
GP23	 0.060 	 0.114 	 0.169 	 0.114 	 0.169 
GP24	 0.059 	 0.113 	 0.168 	 0.113 	 0.168 
GP25	 0.058 	 0.112 	 0.167 	 0.112 	 0.167 
;


param demanda :=

 [*,*,AC]: D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast  :=	
GP1		0	2289	1728	1727	0
GP10	1557	4530	2568	9644	10
GP11	16514	10217	3355	6488	11
GP12	65808	459	52	50	0
GP13	18819	16	13	6	0
GP14	393	0	0	0	0
GP15	2541	377	3	48	0
GP16	7332	3	0	1	0
GP17	2132	2	1	0	0
GP18	2227	1149	105	164	0
GP19	2027	2	2	0	0
GP2		0	15	13	0	0
GP20	221	0	0	0	0
GP21	350	0	0	0	0
GP22	125	3	3	0	0
GP23	3730	1	1	0	0
GP24	334	3	1	0	0
GP25	16002	1	0	0	0
GP3		0	7019	4329	0	0
GP4		0	13867	10614	5888	774
GP5		0	1344	975	5438	20
GP6		0	1344	975	5438	20
GP7		721	3799	492	2463	2
GP8		2402	0	0	0	0
GP9		0	6051	5098	4283	20


 [*,*,AL]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	1884	1108	929	154
GP10	8074	39496	25803	27195	41
GP11	85643	58195	16547	31648	134
GP12	341283	1781	100	13610	63
GP13	97596	2	1	2	0
GP14	2038	0	0	0	0
GP15	13176	280	109	55	0
GP16	38021	833	4	530	1
GP17	11057	28	2	1	0
GP18	11551	3056	1149	542	4
GP19	10514	2	1	0	0
GP2		0	30	17	2	1
GP20	1145	0	0	0	0
GP21	1814	0	0	0	0
GP22	646	2	0	0	0
GP23	19345	1	1	0	0
GP24	1731	0	0	0	0
GP25	82989	0	1	0	0
GP3		0	7261	6530	253	0
GP4		0	73325	64682	7380	215
GP5		0	29442	26106	12815	106
GP6		0	29442	26106	12815	106
GP7		3738	0	0	0	0
GP8		12456	1	0	4747	11
GP9		0	51300	41263	10571	45

 [*,*,AM]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	372	223	243	4
GP10	9444	10327	7126	55348	872
GP11	100174	62620	51910	22011	652
GP12	399189	69684	18325	4487	63
GP13	114155	63	6	81	1
GP14	2384	0	0	0	0
GP15	15411	41	10	24	0
GP16	44473	3749	2660	463	0
GP17	12933	776	538	3	2
GP18	13511	6218	2095	2251	6
GP19	12298	0	1	2	0
GP2		0	53	49	4	0
GP20	1339	2	0	0	0
GP21	2122	4	4	0	0
GP22	756	13	7	16	2
GP23	22627	0	1	1	0
GP24	2025	10	7	1	0
GP25	97070	1	0	1	0
GP3		0	59945	35415	135	4
GP4		0	84256	73740	9336	1649
GP5		0	2423	1596	25744	11075
GP6		0	2423	1596	25744	11075
GP7		4372	2425	309	29349	48
GP8		14570	15	0	1064	0
GP9		0	6065	4240	38503	12192

 [*,*,AP]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	752	672	1186	34
GP10	1537	12073	4432	319	8
GP11	16306	10273	1789	2981	11
GP12	64977	1813	39	2132	5
GP13	18581	20	11	12	0
GP14	388	0	0	0	0
GP15	2509	30	0	0	0
GP16	7239	3	2	1	0
GP17	2105	1	0	0	0
GP18	2199	1082	110	845	16
GP19	2002	0	0	0	0
GP2		0	80	73	0	6
GP20	218	0	0	0	0
GP21	345	0	0	0	0
GP22	123	0	0	2	0
GP23	3683	0	0	4	0
GP24	330	0	0	0	0
GP25	15800	0	0	39	0
GP3		0	4180	3452	0	0
GP4		0	11923	10297	6930	2429
GP5		0	5282	4338	485	12
GP6		0	5282	4338	485	12
GP7		712	191	86	2265	4
GP8		2372	360	109	3146	105
GP9		0	8013	6140	195	8

 [*,*,BH]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	27918	17329	10455	202
GP10	36774	220391	112324	111304	254
GP11	390079	169107	17932	187450	697
GP12	1554441	6398	2496	7671	45
GP13	444519	252	160	297	6
GP14	9282	6	6	4	0
GP15	60011	54	21	179	1
GP16	173176	242	26	15673	35
GP17	50362	65	34	2161	6
GP18	52613	4383	977	6575	93
GP19	47890	46	20	1598	3
GP2		0	439	301	215	29
GP20	5214	1	4	2	1
GP21	8264	6	7	18	0
GP22	2942	1	0	0	0
GP23	88109	9	7	12	0
GP24	7886	6	6	29	0
GP25	377991	4	4	17	1
GP3		0	17275	12532	42	0
GP4		0	209578	173221	185218	35226
GP5		0	209427	167028	19414	219
GP6		0	209427	167028	19414	219
GP7		17024	0	5	41	1
GP8		56735	6696	2046	56520	269
GP9		0	246547	173471	60852	172

 [*,*,CE]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	10360	6588	4838	426
GP10	17193	82023	28852	18857	82
GP11	182377	12559	2116	37576	113
GP12	726761	246	119	151	43
GP13	207830	8	7	123	85
GP14	4340	5	2	0	0
GP15	28058	10	15	0	0
GP16	80967	6	6	2	0
GP17	23546	9	1	0	0
GP18	24599	2309	192	2438	4
GP19	22390	31	26	0	0
GP2		0	293	135	2	0
GP20	2438	1	3	0	0
GP21	3864	0	0	0	0
GP22	1375	0	0	0	0
GP23	41194	0	0	1	0
GP24	3687	0	0	2	0
GP25	176726	2	0	0	0
GP3		0	18423	17180	2	5
GP4		0	288792	222163	66841	6932
GP5		0	91384	55664	30587	2054
GP6		0	91384	55664	30587	2054
GP7		7959	0	1	0	0
GP8		26526	38	0	267	1
GP9		0	135478	58516	2674	119

 [*,*,DF]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	1781	1656	1972	19
GP10	6594	46448	31075	18220	85
GP11	69944	2845	1031	35399	163
GP12	278722	601	476	91	29
GP13	79705	148	131	12	0
GP14	1664	13	4	1	0
GP15	10760	436	40	57	0
GP16	31052	67	57	7	0
GP17	9030	145	132	7	1
GP18	9434	5783	1152	955	9
GP19	8587	4	2	4	1
GP2		0	195	190	2	0
GP20	935	6	1	3	0
GP21	1482	3	1	0	0
GP22	528	15	5	0	0
GP23	15799	1	1	1	0
GP24	1414	2	0	0	0
GP25	67777	3	3	0	0
GP3		0	125	50	58	3
GP4		0	89498	70393	15231	4647
GP5		0	15939	13700	22412	126
GP6		0	15939	13700	22412	126
GP7		3052	0	0	0	0
GP8		10173	2	2	0	0
GP9		0	54865	42222	1415	40

 [*,*,MG]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	61895	38053	17395	953
GP10	52382	437880	149280	151458	470
GP11	555638	57883	7581	249773	724
GP12	2214183	1206	896	835	3
GP13	633183	348	257	212	0
GP14	13221	3	3	2	0
GP15	85481	1674	135	650	3
GP16	246676	18	11	106	0
GP17	71736	15	16	107	3
GP18	74943	10446	2356	4281	20
GP19	68215	17	9	32	1
GP2		0	1785	1616	314	31
GP20	7427	1	0	0	0
GP21	11772	1	0	0	0
GP22	4191	2	1	1	0
GP23	125504	11	8	11	0
GP24	11233	7	7	2	0
GP25	538420	12	6	17	4
GP3		0	6926	6359	20	0
GP4		0	355612	285903	190203	19508
GP5		0	332526	276619	14387	81
GP6		0	332526	276619	14387	81
GP7		24249	130	2	2463	3
GP8		80814	282	104	29192	26
GP9		0	482701	348649	10252	88

 [*,*,RS]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	38832	29297	6639	730
GP10	40101	373380	78664	42545	145
GP11	425369	120916	5513	339222	1148
GP12	1695067	1539	631	6385	47
GP13	484733	2644	1828	1071	66
GP14	10121	36	25	20	10
GP15	65440	848	112	2374	1
GP16	188843	382	316	352	30
GP17	54918	235	179	57	13
GP18	57373	3945	964	21239	48
GP19	52222	57	7	4	1
GP2		0	2029	1800	415	80
GP20	5686	6	2	0	0
GP21	9012	10	1	3	1
GP22	3208	1	0	0	0
GP23	96080	15	5	7	2
GP24	8599	4	1	7	0
GP25	412187	56	22	14	1
GP3		0	12159	9777	443	4
GP4		0	301314	228277	127765	45101
GP5		0	200951	171247	29565	177
GP6		0	200951	171247	29565	177
GP7		18564	0	0	0	0
GP8		61867	1185	1115	8250	51
GP9		0	333067	235910	10938	333

[*,*,SP]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	41525	42681	8851	3559
GP10	116365	697965	267589	560430	1838
GP11	1234329	122865	34117	135972	1244
GP12	4918723	5	11	0	0
GP13	1406593	6	7	2	0
GP14	29370	6424	2057	277	7
GP15	189894	1	2	1	0
GP16	547982	179913	4416	26206	385
GP17	159359	54	2	5	1
GP18	166483	12	16	241	4
GP19	151538	0	0	0	0
GP2		0	4522	3363	2534	572
GP20	16499	0	9	0	0
GP21	26151	0	5	0	0
GP22	9309	1	0	1	0
GP23	278803	0	0	0	0
GP24	24953	0	0	0	0
GP25	1196080	1	0	0	0
GP3		0	3616	3243	299	15
GP4		0	1019475	888575	506775	69825
GP5		0	699361	606440	102801	945
GP6		0	699361	606440	102801	945
GP7		53868	0	0	0	0
GP8		179526	5280	4241	1813	25
GP9		0	1106997	860253	27885	603


[*,*,SIMU1]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	62288	64022	13277	5339
GP10	174548	1046948	401384	840645	2757
GP11	1851494	184298	51176	203958	1866
GP12	7378085	8	17	0	0
GP13	2109890	9	11	3	0
GP14	44055	9636	3086	416	11
GP15	284841	2	3	2	0
GP16	821973	269870	6624	39309	578
GP17	239039	81	3	8	2
GP18	249725	18	24	362	6
GP19	227307	0	0	0	0
GP2		0	6783	5045	3801	858
GP20	24749	0	14	0	0
GP21	39227	0	8	0	0
GP22	13964	2	0	2	0
GP23	418205	0	0	0	0
GP24	37430	0	0	0	0
GP25	1794120	2	0	0	0
GP3		0	5424	4865	449	23
GP4		0	1529213	1332863	760163	104738
GP5		0	1049042	909660	154202	1418
GP6		0	1049042	909660	154202	1418
GP7		80802	0	0	0	0
GP8		269289	7920	6362	2720	38
GP9		0	1660496	1290380	41828	905

[*,*,SIMU2]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	31144	32011	6638	2669
GP10	87274	523474	200692	420323	1379
GP11	925747	92149	25588	101979	933
GP12	3689042	4	8	0	0
GP13	1054945	5	5	2	0
GP14	22028	4818	1543	208	5
GP15	142421	1	2	1	0
GP16	410987	134935	3312	19655	289
GP17	119519	41	2	4	1
GP18	124862	9	12	181	3
GP19	113654	0	0	0	0
GP2		0	3392	2522	1901	429
GP20	12374	0	7	0	0
GP21	19613	0	4	0	0
GP22	6982	1	0	1	0
GP23	209102	0	0	0	0
GP24	18715	0	0	0	0
GP25	897060	1	0	0	0
GP3		0	2712	2432	224	11
GP4		0	764606	666431	380081	52369
GP5		0	524521	454830	77101	709
GP6		0	524521	454830	77101	709
GP7		40401	0	0	0	0
GP8		134645	3960	3181	1360	19
GP9		0	830248	645190	20914	452

[*,*,SIMU3]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	15572	16005	3319	1335
GP10	43637	261737	100346	210161	689
GP11	462873	46074	12794	50990	467
GP12	1844521	2	4	0	0
GP13	527472	2	3	1	0
GP14	11014	2409	771	104	3
GP15	71210	0	1	0	0
GP16	205493	67467	1656	9827	144
GP17	59760	20	1	2	0
GP18	62431	5	6	90	2
GP19	56827	0	0	0	0
GP2		0	1696	1261	950	215
GP20	6187	0	3	0	0
GP21	9807	0	2	0	0
GP22	3491	0	0	0	0
GP23	104551	0	0	0	0
GP24	9357	0	0	0	0
GP25	448530	0	0	0	0
GP3		0	1356	1216	112	6
GP4		0	382303	333216	190041	26184
GP5		0	262260	227415	38550	354
GP6		0	262260	227415	38550	354
GP7		20201	0	0	0	0
GP8		67322	1980	1590	680	9
GP9		0	415124	322595	10457	226

[*,*,SIMU4]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	7786	8003	1660	667
GP10	21818	130868	50173	105081	345
GP11	231437	23037	6397	25495	233
GP12	922261	1	2	0	0
GP13	263736	1	1	0	0
GP14	5507	1205	386	52	1
GP15	35605	0	0	0	0
GP16	102747	33734	828	4914	72
GP17	29880	10	0	1	0
GP18	31216	2	3	45	1
GP19	28413	0	0	0	0
GP2		0	848	631	475	107
GP20	3094	0	2	0	0
GP21	4903	0	1	0	0
GP22	1745	0	0	0	0
GP23	52276	0	0	0	0
GP24	4679	0	0	0	0
GP25	224265	0	0	0	0
GP3		0	678	608	56	3
GP4		0	191152	166608	95020	13092
GP5		0	131130	113708	19275	177
GP6		0	131130	113708	19275	177
GP7		10100	0	0	0	0
GP8		33661	990	795	340	5
GP9		0	207562	161297	5228	113

[*,*,SIMU5]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	3893	4001	830	334
GP10	10909	65434	25086	52540	172
GP11	115718	11519	3198	12747	117
GP12	461130	0	1	0	0
GP13	131868	1	1	0	0
GP14	2753	602	193	26	1
GP15	17803	0	0	0	0
GP16	51373	16867	414	2457	36
GP17	14940	5	0	0	0
GP18	15608	1	2	23	0
GP19	14207	0	0	0	0
GP2		0	424	315	238	54
GP20	1547	0	1	0	0
GP21	2452	0	0	0	0
GP22	873	0	0	0	0
GP23	26138	0	0	0	0
GP24	2339	0	0	0	0
GP25	112133	0	0	0	0
GP3		0	339	304	28	1
GP4		0	95576	83304	47510	6546
GP5		0	65565	56854	9638	89
GP6		0	65565	56854	9638	89
GP7		5050	0	0	0	0
GP8		16831	495	398	170	2
GP9		0	103781	80649	2614	57

[*,*,SIMU6]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	1946	2001	415	167
GP10	5455	32717	12543	26270	86
GP11	57859	5759	1599	6374	58
GP12	230565	0	1	0	0
GP13	65934	0	0	0	0
GP14	1377	301	96	13	0
GP15	8901	0	0	0	0
GP16	25687	8433	207	1228	18
GP17	7470	3	0	0	0
GP18	7804	1	1	11	0
GP19	7103	0	0	0	0
GP2		0	212	158	119	27
GP20	773	0	0	0	0
GP21	1226	0	0	0	0
GP22	436	0	0	0	0
GP23	13069	0	0	0	0
GP24	1170	0	0	0	0
GP25	56066	0	0	0	0
GP3		0	170	152	14	1
GP4		0	47788	41652	23755	3273
GP5		0	32783	28427	4819	44
GP6		0	32783	28427	4819	44
GP7		2525	0	0	0	0
GP8		8415	248	199	85	1
GP9		0	51890	40324	1307	28

[*,*,SIMU7]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	973	1000	207	83
GP10	2727	16359	6272	13135	43
GP11	28930	2880	800	3187	29
GP12	115283	0	0	0	0
GP13	32967	0	0	0	0
GP14	688	151	48	6	0
GP15	4451	0	0	0	0
GP16	12843	4217	104	614	9
GP17	3735	1	0	0	0
GP18	3902	0	0	6	0
GP19	3552	0	0	0	0
GP2		0	106	79	59	13
GP20	387	0	0	0	0
GP21	613	0	0	0	0
GP22	218	0	0	0	0
GP23	6534	0	0	0	0
GP24	585	0	0	0	0
GP25	28033	0	0	0	0
GP3		0	85	76	7	0
GP4		0	23894	20826	11878	1637
GP5		0	16391	14213	2409	22
GP6		0	16391	14213	2409	22
GP7		1263	0	0	0	0
GP8		4208	124	99	42	1
GP9		0	25945	20162	654	14

[*,*,SIMU8]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	487	500	104	42
GP10	1364	8179	3136	6568	22
GP11	14465	1440	400	1593	15
GP12	57641	0	0	0	0
GP13	16484	0	0	0	0
GP14	344	75	24	3	0
GP15	2225	0	0	0	0
GP16	6422	2108	52	307	5
GP17	1867	1	0	0	0
GP18	1951	0	0	3	0
GP19	1776	0	0	0	0
GP2		0	53	39	30	7
GP20	193	0	0	0	0
GP21	306	0	0	0	0
GP22	109	0	0	0	0
GP23	3267	0	0	0	0
GP24	292	0	0	0	0
GP25	14017	0	0	0	0
GP3		0	42	38	4	0
GP4		0	11947	10413	5939	818
GP5		0	8196	7107	1205	11
GP6		0	8196	7107	1205	11
GP7		631	0	0	0	0
GP8		2104	62	50	21	0
GP9		0	12973	10081	327	7

[*,*,SIMU9]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	243	250	52	21
GP10	682	4090	1568	3284	11
GP11	7232	720	200	797	7
GP12	28821	0	0	0	0
GP13	8242	0	0	0	0
GP14	172	38	12	2	0
GP15	1113	0	0	0	0
GP16	3211	1054	26	154	2
GP17	934	0	0	0	0
GP18	975	0	0	1	0
GP19	888	0	0	0	0
GP2		0	26	20	15	3
GP20	97	0	0	0	0
GP21	153	0	0	0	0
GP22	55	0	0	0	0
GP23	1634	0	0	0	0
GP24	146	0	0	0	0
GP25	7008	0	0	0	0
GP3		0	21	19	2	0
GP4		0	5973	5206	2969	409
GP5		0	4098	3553	602	6
GP6		0	4098	3553	602	6
GP7		316	0	0	0	0
GP8		1052	31	25	11	0
GP9		0	6486	5041	163	4

[*,*,SIMU10]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	122	125	26	10
GP10	341	2045	784	1642	5
GP11	3616	360	100	398	4
GP12	14410	0	0	0	0
GP13	4121	0	0	0	0
GP14	86	19	6	1	0
GP15	556	0	0	0	0
GP16	1605	527	13	77	1
GP17	467	0	0	0	0
GP18	488	0	0	1	0
GP19	444	0	0	0	0
GP2		0	13	10	7	2
GP20	48	0	0	0	0
GP21	77	0	0	0	0
GP22	27	0	0	0	0
GP23	817	0	0	0	0
GP24	73	0	0	0	0
GP25	3504	0	0	0	0
GP3		0	11	10	1	0
GP4		0	2987	2603	1485	205
GP5		0	2049	1777	301	3
GP6		0	2049	1777	301	3
GP7		158	0	0	0	0
GP8		526	15	12	5	0
GP9		0	3243	2520	82	2

[*,*,SIMU11]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	61	63	13	5
GP10	170	1022	392	821	3
GP11	1808	180	50	199	2
GP12	7205	0	0	0	0
GP13	2060	0	0	0	0
GP14	43	9	3	0	0
GP15	278	0	0	0	0
GP16	803	264	6	38	1
GP17	233	0	0	0	0
GP18	244	0	0	0	0
GP19	222	0	0	0	0
GP2		0	7	5	4	1
GP20	24	0	0	0	0
GP21	38	0	0	0	0
GP22	14	0	0	0	0
GP23	408	0	0	0	0
GP24	37	0	0	0	0
GP25	1752	0	0	0	0
GP3		0	5	5	0	0
GP4		0	1493	1302	742	102
GP5		0	1024	888	151	1
GP6		0	1024	888	151	1
GP7		79	0	0	0	0
GP8		263	8	6	3	0
GP9		0	1622	1260	41	1

[*,*,SIMU12]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		0	30	31	6	3
GP10	85	511	196	410	1
GP11	904	90	25	100	1
GP12	3603	0	0	0	0
GP13	1030	0	0	0	0
GP14	22	5	2	0	0
GP15	139	0	0	0	0
GP16	401	132	3	19	0
GP17	117	0	0	0	0
GP18	122	0	0	0	0
GP19	111	0	0	0	0
GP2		0	3	2	2	0
GP20	12	0	0	0	0
GP21	19	0	0	0	0
GP22	7	0	0	0	0
GP23	204	0	0	0	0
GP24	18	0	0	0	0
GP25	876	0	0	0	0
GP3		0	3	2	0	0
GP4		0	747	651	371	51
GP5		0	512	444	75	1
GP6		0	512	444	75	1
GP7		39	0	0	0	0
GP8		131	4	3	1	0
GP9		0	811	630	20	0

[*,*,SIMU13]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		155	1781	1656	1972	19
GP10	6594	46448	31075	18220	85
GP11	69944	2845	1031	35399	163
GP12	278722	601	476	91	29
GP13	79705	148	131	12	29
GP14	1664	13	131	1	29
GP15	10760	436	131	57	29
GP16	31052	67	131	7	29
GP17	9030	145	131	7	29
GP18	9434	5783	131	955	29
GP19	8587	4	131	4	29
GP2		195	195	131	4	29
GP20	935	6	131	4	29
GP21	1482	3	131	4	29
GP22	528	15	131	4	29
GP23	15799	1	131	4	29
GP24	1414	2	131	4	29
GP25	67777	3	131	131	131
GP3		3052	125	50	58	29
GP4		3052	89498	70393	15231	4647
GP5		3052	15939	13700	22412	126
GP6		3052	15939	13700	22412	126
GP7		3052	3052	3052	3052	3052
GP8		10173	2	2	2	2
GP9		145	54865	42222	1415	40

[*,*,SIMU14]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		132	1514	1408	1676	16
GP10	5605	39481	26414	15487	72
GP11	59452	2418	876	30089	139
GP12	236914	511	405	77	25
GP13	67749	126	111	10	25
GP14	1414	11	111	1	25
GP15	9146	371	111	48	25
GP16	26394	57	111	6	25
GP17	7676	123	111	6	25
GP18	8019	4916	111	812	25
GP19	7299	3	111	3	25
GP2		166	166	111	3	25
GP20	795	5	111	3	25
GP21	1260	3	111	3	25
GP22	449	13	111	3	25
GP23	13429	1	111	3	25
GP24	1202	2	111	3	25
GP25	57610	3	111	111	111
GP3		2594	106	43	49	25
GP4		2594	76073	59834	12946	3950
GP5		2594	13548	11645	19050	107
GP6		2594	13548	11645	19050	107
GP7		2594	2594	2594	2594	2594
GP8		8647	2	2	2	2
GP9		123	46635	35889	1203	34

[*,*,SIMU15]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		112	1287	1196	1425	14
GP10	4764	33559	22452	13164	61
GP11	50535	2056	745	25576	118
GP12	201377	434	344	66	21
GP13	57587	107	95	9	21
GP14	1202	9	95	1	21
GP15	7774	315	95	41	21
GP16	22435	48	95	5	21
GP17	6524	105	95	5	21
GP18	6816	4178	95	690	21
GP19	6204	3	95	3	21
GP2		141	141	95	3	21
GP20	676	4	95	3	21
GP21	1071	2	95	3	21
GP22	381	11	95	3	21
GP23	11415	1	95	3	21
GP24	1022	1	95	3	21
GP25	48969	2	95	95	95
GP3		2205	90	36	42	21
GP4		2205	64662	50859	11004	3357
GP5		2205	11516	9898	16193	91
GP6		2205	11516	9898	16193	91
GP7		2205	2205	2205	2205	2205
GP8		7350	1	1	1	1
GP9		105	39640	30505	1022	29

[*,*,SIMU16]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		95	1094	1017	1211	12
GP10	4050	28525	19084	11189	52
GP11	42954	1747	633	21739	100
GP12	171170	369	292	56	18
GP13	48949	91	80	7	18
GP14	1022	8	80	1	18
GP15	6608	268	80	35	18
GP16	19070	41	80	4	18
GP17	5546	89	80	4	18
GP18	5794	3551	80	586	18
GP19	5273	2	80	2	18
GP2		120	120	80	2	18
GP20	574	4	80	2	18
GP21	910	2	80	2	18
GP22	324	9	80	2	18
GP23	9703	1	80	2	18
GP24	868	1	80	2	18
GP25	41624	2	80	80	80
GP3		1874	77	31	36	18
GP4		1874	54963	43230	9354	2854
GP5		1874	9789	8414	13764	77
GP6		1874	9789	8414	13764	77
GP7		1874	1874	1874	1874	1874
GP8		6247	1	1	1	1
GP9		89	33694	25930	869	25

[*,*,SIMU17]:  D1	D2-cor	LimD2-cor	D2-ast	LimD2-ast :=
GP1		81	930	864	1029	10
GP10	3442	24246	16221	9511	44
GP11	36511	1485	538	18478	85
GP12	145495	314	248	48	15
GP13	41607	77	68	6	15
GP14	869	7	68	1	15
GP15	5617	228	68	30	15
GP16	16209	35	68	4	15
GP17	4714	76	68	4	15
GP18	4925	3019	68	499	15
GP19	4482	2	68	2	15
GP2		102	102	68	2	15
GP20	488	3	68	2	15
GP21	774	2	68	2	15
GP22	276	8	68	2	15
GP23	8247	1	68	2	15
GP24	738	1	68	2	15
GP25	35380	2	68	68	68
GP3		1593	65	26	30	15
GP4		1593	46719	36746	7951	2426
GP5		1593	8320	7151	11699	66
GP6		1593	8320	7151	11699	66
GP7		1593	1593	1593	1593	1593
GP8		5310	1	1	1	1
GP9		76	28640	22040	739	21
